date,action,ticker,price,shares,fee,cash_after,reason
2023-05-25,SELL,RATO-B.ST,32.52000045776367,644021,14451.058618218498,20929216.530342698,REBALANCE_OUT
2023-05-25,SELL,SKA-B.ST,148.89999389648438,176846,18169.334141226194,47243415.51681915,REBALANCE_OUT
2023-05-25,BUY,EMBRAC-B.ST,125.94000244140625,187563,16298.962427763061,23605431.876473907,REBALANCE_IN
2023-05-25,BUY,NIBE-B.ST,103.91529083251953,227003,16276.467107749557,72.64451172575355,REBALANCE_IN
2023-06-01,SELL,PCELL.ST,77.73999786376953,150198,8056.710617408295,11668408.133036774,STOP_LOSS
2023-06-01,SELL,NIBE-B.ST,104.44999694824219,227003,16360.219233496857,35362510.5710451,REBALANCE_OUT
2023-06-01,BUY,MEKO.ST,97.29869079589844,363192,24383.29321420532,21.17028695344925,REBALANCE_IN
2023-06-16,SELL,SAVE.ST,157.3000030517578,168371,18274.483581540982,26466505.50053293,REBALANCE_OUT
2023-06-16,BUY,PCELL.ST,90.66000366210938,97310,6087.266219888305,17638293.277953178,REBALANCE_IN
2023-06-16,BUY,SHB-B.ST,100.85918426513672,87470,6087.285464893341,8810053.144816775,REBALANCE_IN
2023-06-16,BUY,SKA-B.ST,135.72711181640625,64865,6074.717984500122,39.31886108405888,REBALANCE_IN
2023-06-22,SELL,PCELL.ST,85.5,97310,5740.803449999999,8314303.5154110845,STOP_LOSS
2023-06-26,SELL,SKA-B.ST,141.60000610351562,64865,6337.570233174133,17492850.341082454,REBALANCE_OUT
2023-06-26,SELL,SHB-B.ST,105.0,87470,6337.2015,26670863.139582455,REBALANCE_OUT
2023-06-26,BUY,PCELL.ST,78.5,113252,6134.29458,17774446.845002457,REBALANCE_IN
2023-06-26,BUY,RATO-B.ST,26.9599552154541,329758,6134.280029237022,8878051.653035507,REBALANCE_IN
2023-06-26,BUY,SAVE.ST,130.1177215576172,68183,6121.553460184478,113.49061230942607,REBALANCE_IN
2023-07-03,SELL,RATO-B.ST,30.299999237060547,329758,6894.250332406082,9984886.388694515,REBALANCE_OUT
2023-07-03,SELL,MEKO.ST,109.4000015258789,363192,27415.911694389037,49690675.83118714,REBALANCE_OUT
2023-07-03,SELL,PCELL.ST,83.95999908447266,113252,6560.960093257141,59192752.687408574,REBALANCE_OUT
2023-07-03,BUY,ELAN-B.ST,107.2059555053711,276070,20421.48021409378,29575983.070826683,REBALANCE_IN
2023-07-03,BUY,NIBE-B.ST,99.05117797851562,298387,20393.352851997985,5.8744993433356285,REBALANCE_IN
2023-07-10,SELL,ELAN-B.ST,117.0,276070,22287.1311,32277908.743399344,REBALANCE_OUT
2023-07-10,SELL,SAVE.ST,141.3000030517578,68183,6647.638094573822,41905519.21338277,REBALANCE_OUT
2023-07-10,SELL,NIBE-B.ST,97.73999786376953,298387,20123.397872377853,71049740.55808699,REBALANCE_OUT
2023-07-10,BUY,BEIJ-B.ST,133.8377685546875,176954,16341.358662810058,47350270.702598006,REBALANCE_IN
2023-07-10,BUY,PCELL.ST,83.86000061035156,282414,16341.43436653656,23650691.055859644,REBALANCE_IN
2023-07-10,BUY,RATO-B.ST,27.553707122802734,857756,16307.70674871048,25.742284152656794,REBALANCE_IN
2023-07-17,SELL,BEIJ-B.ST,134.60000610351562,176954,16434.426541228637,23801600.79578443,REBALANCE_OUT
2023-07-17,SELL,PCELL.ST,80.4000015258789,282414,15667.1993613414,46492019.627352655,REBALANCE_OUT
2023-07-17,BUY,ELAN-B.ST,95.51402282714844,121688,8019.808182755127,34861089.40937986,REBALANCE_IN
2023-07-17,BUY,LUND-B.ST,435.3072509765625,26700,8019.665484741211,23230366.142820902,REBALANCE_IN
2023-07-17,BUY,NIBE-B.ST,92.565673828125,125564,8019.812225302734,11599430.062040912,REBALANCE_IN
2023-07-24,SELL,RATO-B.ST,34.65999984741211,857756,20513.577752090605,41308739.31340564,REBALANCE_OUT
2023-07-24,SELL,NIBE-B.ST,92.31999969482422,125564,7998.527224759826,52892809.22786179,REBALANCE_OUT
2023-07-24,SELL,LUND-B.ST,452.0,26700,8327.196,64952882.03186179,REBALANCE_OUT
2023-07-24,BUY,HPOL-B.ST,99.7027587890625,325732,22408.701527856443,32454094.304455027,REBALANCE_IN
2023-07-28,SELL,ELAN-B.ST,100.80000305175781,121688,8463.64403223999,44711781.43178509,STOP_LOSS
2023-07-31,SELL,HPOL-B.ST,115.0,325732,25846.834199999998,82145114.59758508,REBALANCE_OUT
2023-07-31,BUY,BULTEN.ST,74.46317291259766,551582,28340.056630618743,41044228.69947802,REBALANCE_IN
2023-08-07,SELL,BULTEN.ST,79.80000305175781,551582,30371.209245473325,85030102.77352723,REBALANCE_OUT
2023-08-07,BUY,CLAS-B.ST,89.56452178955078,316457,19556.89071164955,56667226.01085971,REBALANCE_IN
2023-08-07,BUY,VOLV-B.ST,218.6614227294922,129622,19556.89834655914,28304338.17547092,REBALANCE_IN
