date,portfolio_value,cash,positions_count
2020-12-14,2683368,5,3
2020-12-15,2692212,5,3
2020-12-16,2714252,5,3
2020-12-17,2725679,5,3
2020-12-18,2763775,5,3
2020-12-21,2742039,27,3
2020-12-22,2756673,27,3
2020-12-23,2811716,27,3
2020-12-28,2818395,27,3
2020-12-29,2824537,27,3
2020-12-30,2789371,27,3
2021-01-04,2824570,27,3
2021-01-05,2809456,27,3
2021-01-07,2886913,27,3
2021-01-08,2828848,27,3
2021-01-11,2809633,27,3
2021-01-12,2814325,27,3
2021-01-13,2814525,27,3
2021-01-14,2866152,27,3
2021-01-15,2869933,27,3
2021-01-18,3275093,104,3
2021-01-19,3266445,104,3
2021-01-20,3332109,104,3
2021-01-21,3296831,104,3
2021-01-22,3282798,104,3
2021-01-25,3295310,51,3
2021-01-26,3325913,51,3
2021-01-27,3318534,51,3
2021-01-28,3373744,1593133,2
2021-01-29,3329460,1593133,2
2021-02-01,3423725,46,3
2021-02-02,3418104,46,3
2021-02-03,3404334,46,3
2021-02-04,3428843,46,3
2021-02-05,3397069,46,3
2021-02-08,3387859,46,3
2021-02-09,3374960,46,3
2021-02-10,3349964,46,3
2021-02-11,3380497,46,3
2021-02-12,3411969,46,3
2021-02-15,3466123,15,3
2021-02-16,3486726,15,3
2021-02-17,3489308,15,3
2021-02-18,3491743,15,3
2021-02-19,3452369,15,3
2021-02-22,3488813,59,3
2021-02-23,3440743,59,3
2021-02-24,3426549,59,3
2021-02-25,3418373,59,3
2021-02-26,3386786,59,3
2021-03-01,3471597,21,3
2021-03-02,3441781,21,3
2021-03-03,3432141,1117859,2
2021-03-04,3452574,1117859,2
2021-03-05,3448541,1117859,2
2021-03-08,3536294,54,3
2021-03-09,3574435,54,3
2021-03-10,3609360,54,3
2021-03-11,3616562,54,3
2021-03-12,3595838,54,3
2021-03-15,3618068,4,3
2021-03-16,3644042,4,3
2021-03-17,3655083,4,3
2021-03-18,3640675,4,3
2021-03-19,3645365,4,3
2021-03-22,3646145,4,3
2021-03-23,3652295,4,3
2021-03-24,3663650,4,3
2021-03-25,3635969,4,3
2021-03-26,3670936,4,3
2021-03-29,3630065,4,3
2021-03-30,3656644,4,3
2021-03-31,3654795,4,3
2021-04-01,3722871,4,3
2021-04-06,3712351,4,3
2021-04-07,3756370,4,3
2021-04-08,3773224,4,3
2021-04-09,3811931,4,3
2021-04-12,3808897,4,3
2021-04-13,3806536,4,3
2021-04-14,4106243,24,3
2021-04-15,4110723,24,3
2021-04-16,4162503,24,3
2021-04-19,4164123,24,3
2021-04-20,4084837,24,3
2021-04-21,4098917,24,3
2021-04-22,4123830,24,3
2021-04-23,4113781,24,3
2021-04-26,4140843,24,3
2021-04-27,4152395,24,3
2021-04-28,4124543,24,3
2021-04-29,4166408,24,3
2021-04-30,4132246,24,3
2021-05-03,4155249,24,3
2021-05-04,4082529,24,3
2021-05-05,4160684,24,3
2021-05-06,4186365,24,3
2021-05-07,4204898,24,3
2021-05-10,4205003,24,3
2021-05-11,4118195,24,3
2021-05-12,4218685,24,3
2021-05-14,4215647,24,3
2021-05-17,4190232,24,3
2021-05-18,4244224,24,3
2021-05-19,4204657,24,3
2021-05-20,4281680,24,3
2021-05-21,4391817,24,3
2021-05-24,4421029,24,3
2021-05-25,4525880,24,3
2021-05-26,4388718,24,3
2021-05-27,4403221,24,3
2021-05-28,4426508,24,3
2021-05-31,4433706,24,3
2021-06-01,4502203,24,3
2021-06-02,4514284,24,3
2021-06-03,4617881,66,3
2021-06-04,4610531,66,3
2021-06-07,4593200,66,3
2021-06-08,4604664,66,3
2021-06-09,4564556,66,3
2021-06-10,4567519,66,3
2021-06-11,4611531,66,3
2021-06-14,4619077,66,3
2021-06-15,4574816,66,3
2021-06-16,4645854,66,3
2021-06-17,4606678,66,3
2021-06-18,4538720,66,3
2021-06-21,4543112,66,3
2021-06-22,4598784,1712130,2
2021-06-23,4565232,1712130,2
2021-06-24,4576940,34,3
2021-06-28,4598051,34,3
2021-06-29,4631582,34,3
2021-06-30,4675621,34,3
2021-07-01,4706166,34,3
2021-07-02,4740201,34,3
2021-07-05,4764823,34,3
2021-07-06,4731095,34,3
2021-07-07,4757623,34,3
2021-07-08,4752512,34,3
2021-07-09,4872034,30,3
2021-07-12,4912090,30,3
2021-07-13,4975745,30,3
2021-07-14,4987564,30,3
2021-07-15,4969655,30,3
2021-07-16,5361170,29,4
2021-07-19,5227096,29,4
2021-07-20,5308068,29,4
2021-07-21,5489320,29,4
2021-07-22,5623063,29,4
2021-07-23,5699129,71,3
2021-07-26,5677070,71,3
2021-07-27,5604430,71,3
2021-07-28,5628319,71,3
2021-07-29,5623870,71,3
2021-07-30,6064497,57,3
2021-08-02,6062547,57,3
2021-08-03,6081016,57,3
2021-08-04,6123769,57,3
2021-08-05,6147676,57,3
2021-08-06,6105187,57,3
2021-08-09,6091220,57,3
2021-08-10,6129239,57,3
2021-08-11,6133523,57,3
2021-08-12,6171196,57,3
2021-08-13,6273361,64,3
2021-08-16,6219901,64,3
2021-08-17,6252335,64,3
2021-08-18,6233529,64,3
