date,portfolio_value
2021-05-20,178897.35600566864
2021-05-21,180493.47403621674
2021-05-24,182640.67475032806
2021-05-25,182232.41362667084
2021-05-26,180439.6049375534
2021-05-27,180668.64781856537
2021-05-28,183402.1386938095
2021-05-31,185200.58572292328
2021-06-01,184727.81416988373
2021-06-02,184937.46887111664
2021-06-03,183179.0526227951
2021-06-04,184680.33981609344
2021-06-07,184227.66222286224
2021-06-08,185016.06272411346
2021-06-09,184895.01792049408
2021-06-10,183074.2770910263
2021-06-11,181884.72305583954
2021-06-14,183577.212351799
2021-06-15,182295.72291088104
2021-06-16,181738.94321727753
2021-06-17,180313.06409358978
2021-06-18,178785.05405330658
2021-06-21,176379.99202632904
2021-06-22,176411.0660161972
2021-06-23,175515.07069683075
2021-06-24,180140.68188381195
2021-06-28,183759.62805080414
2021-06-29,187078.87603282928
2021-06-30,184467.10552501678
2021-07-01,181782.13654994965
2021-07-02,182347.68058681488
2021-07-05,182441.34803676605
2021-07-06,181925.7935552597
2021-07-07,180804.04470729828
2021-07-08,177677.96121501923
2021-07-09,177598.0567960739
2021-07-12,179305.4795293808
2021-07-13,179992.15393733978
2021-07-14,180058.9597005844
2021-07-15,178590.23039531708
2021-07-16,179565.6725873947
2021-07-19,176757.12356090546
2021-07-20,174314.37533473969
2021-07-21,178432.95457744598
2021-07-22,180936.0329389572
2021-07-23,181917.71191692352
2021-07-26,182512.45347881317
2021-07-27,180140.9666967392
2021-07-28,181158.79877376556
2021-07-29,181874.7755460739
2021-07-30,180536.76562023163
2021-08-02,181102.21802043915
2021-08-03,177546.15159130096
2021-08-04,177332.16475582123
2021-08-05,174124.0187215805
2021-08-06,171097.30622768402
2021-08-09,172963.56510829926
2021-08-10,173903.36200618744
2021-08-11,171764.09635829926
2021-08-12,176630.08943843842
2021-08-13,175032.27345180511
2021-08-16,174218.43887615204
2021-08-17,174781.00385570526
2021-08-18,175612.734251976
2021-08-19,176993.5520849228
2021-08-20,180161.57875728607
2021-08-23,182202.6836233139
2021-08-24,182482.01212596893
2021-08-25,181087.80859661102
2021-08-26,180549.3436574936
2021-08-27,180222.8676519394
2021-08-30,179943.87929439545
2021-08-31,181973.63882350922
2021-09-01,182714.5474615097
2021-09-02,186089.13110256195
2021-09-03,188055.40538311005
2021-09-06,188427.0428571701
2021-09-07,188059.01280498505
2021-09-08,183664.65053081512
2021-09-09,182144.55143642426
2021-09-10,179979.947142601
2021-09-13,179027.6109609604
2021-09-14,179692.15231990814
2021-09-15,176820.36817073822
2021-09-16,178832.9403181076
2021-09-17,179488.77168178558
2021-09-20,175460.34188365936
2021-09-21,173139.6692686081
2021-09-22,173620.28781795502
2021-09-23,175154.55623149872
2021-09-24,174089.69390392303
2021-09-27,170992.41351604462
2021-09-28,167417.7391347885
2021-09-29,165383.67626857758
2021-09-30,165541.44851589203
2021-10-01,164857.87178325653
2021-10-04,160479.2204427719
2021-10-05,163506.95811367035
2021-10-06,159835.6335248947
2021-10-07,162514.19431972504
2021-10-08,159582.84236812592
2021-10-11,160189.68482112885
2021-10-12,164647.71899318695
2021-10-13,169530.4512014389
2021-10-14,171665.82301998138
2021-10-15,173004.70737743378
2021-10-18,173139.35624217987
2021-10-19,175271.90428829193
2021-10-20,177495.55963039398
2021-10-21,180106.83738994598
2021-10-22,180677.83954524994
2021-10-25,178905.1105146408
2021-10-26,178219.3626127243
2021-10-27,177926.950091362
2021-10-28,181249.74689388275
2021-10-29,183314.0805158615
2021-11-01,185755.12652873993
2021-11-02,184943.48193264008
2021-11-03,183736.31682109833
2021-11-04,187317.556517601
2021-11-05,178366.65969753265
2021-11-08,179101.21673870087
2021-11-09,180505.66043758392
2021-11-10,182492.62663555145
2021-11-11,184859.75163173676
2021-11-12,189597.31187725067
2021-11-15,193634.49578762054
2021-11-16,191657.44119167328
2021-11-17,190721.6654729843
2021-11-18,189150.04896831512
2021-11-19,190978.70769405365
2021-11-22,187241.9682416916
2021-11-23,184579.10727596283
2021-11-24,186421.80699825287
2021-11-25,186847.94000148773
2021-11-26,184623.83622264862
2021-11-29,187907.15021038055
2021-11-30,187672.7014760971
2021-12-01,187444.33365154266
2021-12-02,183400.13039302826
2021-12-03,179023.1099538803
2021-12-06,172787.91568279266
2021-12-07,180071.82890605927
2021-12-08,181775.90383434296
2021-12-09,181850.216132164
2021-12-10,179731.35279750824
2021-12-13,179609.51042842865
2021-12-14,175827.0854177475
2021-12-15,177216.4889974594
2021-12-16,177254.03105831146
2021-12-17,177955.3209180832
2021-12-20,176504.22955608368
2021-12-21,179194.77371883392
2021-12-22,182164.98976802826
2021-12-23,182805.1982908249
2021-12-27,186382.49273967743
2021-12-28,186013.56118679047
2021-12-29,187404.21549510956
2021-12-30,187611.46128749847
2022-01-03,186850.19513607025
2022-01-04,183214.44388866425
2022-01-05,182345.34432125092
2022-01-07,176696.73477077484
2022-01-10,169527.22301387787
2022-01-11,171155.11899852753
2022-01-12,167909.70576381683
2022-01-13,166314.51405239105
2022-01-14,162789.3583135605
2022-01-17,161291.38946437836
2022-01-18,158380.30879116058
2022-01-19,158569.3842611313
2022-01-20,162275.74936580658
2022-01-21,156359.0282201767
2022-01-24,147312.41056728363
2022-01-25,145813.29576396942
2022-01-26,150546.4593000412
2022-01-27,150480.0192747116
2022-01-28,149534.19567775726
2022-01-31,153935.74706935883
2022-02-01,156970.32292461395
2022-02-02,157320.40510082245
2022-02-03,152725.29614543915
2022-02-04,150561.66359233856
2022-02-07,151107.58462810516
2022-02-08,147867.7272939682
2022-02-09,153508.40463161469
2022-02-10,150659.18120861053
2022-02-11,149051.47737407684
2022-02-14,145294.34276103973
2022-02-15,147777.01116466522
2022-02-16,146850.49230861664
2022-02-17,142620.86589336395
2022-02-18,139792.3303861618
2022-02-21,135222.9329252243
2022-02-22,138337.7907781601
2022-02-23,137063.36643886566
2022-02-24,134358.11129665375
2022-02-25,137532.24643993378
2022-02-28,140642.62275218964
2022-03-01,135497.98321437836
2022-03-02,137588.28845882416
2022-03-03,131836.93899059296
2022-03-04,129254.43845272064
2022-03-07,127876.12179470062
2022-03-08,130509.81907176971
2022-03-09,137158.83216381073
2022-03-10,134454.57906627655
2022-03-11,139122.5287923813
2022-03-14,139889.92089366913
2022-03-15,136668.3303861618
2022-03-16,143443.13867855072
2022-03-17,143308.9937391281
2022-03-18,146000.29673290253
2022-03-21,146007.9467229843
2022-03-22,145645.3441839218
2022-03-23,143953.43017101288
2022-03-24,142089.91767406464
2022-03-25,142476.41762447357
2022-03-28,143223.86440563202
2022-03-29,148627.2681798935
2022-03-30,147836.0587568283
2022-03-31,147341.4892950058
2022-04-01,148349.04820919037
2022-04-04,151696.21635341644
2022-04-05,152290.25614452362
2022-04-06,150410.8611021042
2022-04-07,151884.59870815277
2022-04-08,151683.10866832733
2022-04-11,148723.50570964813
2022-04-12,150586.9975042343
2022-04-13,151512.69024944305
2022-04-14,150310.08645153046
2022-04-19,148883.67346858978
2022-04-20,148306.40017986298
2022-04-21,146145.35845470428
2022-04-22,142830.06719875336
2022-04-25,142835.40745449066
2022-04-26,137946.1991033554
2022-04-27,137021.797041893
2022-04-28,134287.27441692352
2022-04-29,136176.96815013885
2022-05-02,134553.76304912567
2022-05-03,135490.54519557953
2022-05-04,135018.36715221405
2022-05-05,136472.29513835907
2022-05-06,137446.74113750458
2022-05-09,128748.95625209808
2022-05-10,130069.58557796478
2022-05-11,133887.5997953415
2022-05-12,133268.82791423798
2022-05-13,138796.64337444305
2022-05-16,138965.50890254974
2022-05-17,141685.50079631805
2022-05-18,140424.35863780975
2022-05-19,142379.3923139572
2022-05-20,142141.5367155075
2022-05-23,142801.8461408615
2022-05-24,140168.8497686386
2022-05-25,139811.33404445648
2022-05-27,145319.14640712738
2022-05-30,147258.31930446625
2022-05-31,145611.3666715622
2022-06-01,144005.38238430023
2022-06-02,144987.8123846054
2022-06-03,143765.9344739914
2022-06-07,144775.06633281708
2022-06-08,145795.38110637665
2022-06-09,142219.26451396942
2022-06-10,138353.47780895233
2022-06-13,135226.695063591
2022-06-14,131534.09870815277
2022-06-15,133203.27436733246
2022-06-16,128819.70212459564
2022-06-17,132881.30492687225
2022-06-20,132916.81990337372
2022-06-21,133868.84287929535
2022-06-22,133516.08034420013
2022-06-23,132583.50768566132
2022-06-27,135715.66277599335
2022-06-28,134137.9304265976
2022-06-29,132866.69247722626
2022-06-30,128440.17193126678
2022-07-01,129517.45194530487
2022-07-04,129395.36135005951
2022-07-05,131130.69001293182
