date,cash,portfolio_value,positions,trades
2020-02-26,6,103697,RATO-B.ST:10494; NIBE-B.ST:11201; NEWA-B.ST:10254; EQT.ST:10471; BULTEN.ST:8573; BEIJ-B.ST:7907; ELAN-B.ST:9033; INVE-B.ST:9030; HPOL-B.ST:26727,
2020-02-27,6,99557,RATO-B.ST:9923; NIBE-B.ST:10774; NEWA-B.ST:9689; EQT.ST:10144; BULTEN.ST:8208; BEIJ-B.ST:7617; ELAN-B.ST:8924; INVE-B.ST:8653; HPOL-B.ST:25619,
2020-02-28,501,95921,RATO-B.ST:9757; NIBE-B.ST:10309; EQT.ST:9755; EMBRAC-B.ST:9457; AZN.ST:9161; HOLM-B.ST:9468; HEXA-B.ST:9462; SHB-B.ST:9495; SWED-A.ST:9415; LUND-B.ST:9140,SELL NEWA-B.ST 425 @ 22.50 fee 69.00; SELL BULTEN.ST 142 @ 58.32 fee 69.00; SELL BEIJ-B.ST 97 @ 76.06 fee 69.00; SELL ELAN-B.ST 131 @ 65.78 fee 69.00; SELL INVE-B.ST 78 @ 107.01 fee 69.00; SELL HPOL-B.ST 420 @ 59.06 fee 69.00; BUY EMBRAC-B.ST 34 @ 278.16 fee 69.00; BUY AZN.ST 11 @ 832.80 fee 69.00; BUY HOLM-B.ST 39 @ 242.78 fee 69.00; BUY HEXA-B.ST 130 @ 72.78 fee 69.00; BUY SHB-B.ST 122 @ 77.83 fee 69.00; BUY SWED-A.ST 93 @ 101.24 fee 69.00; BUY LUND-B.ST 24 @ 380.84 fee 69.00
2020-03-02,501,97143,RATO-B.ST:9797; NIBE-B.ST:10415; EQT.ST:9935; EMBRAC-B.ST:9572; AZN.ST:9333; HOLM-B.ST:9665; HEXA-B.ST:9499; SHB-B.ST:9608; SWED-A.ST:9571; LUND-B.ST:9246,
2020-03-03,501,99021,RATO-B.ST:9850; NIBE-B.ST:10750; EQT.ST:10565; EMBRAC-B.ST:9751; AZN.ST:9439; HOLM-B.ST:9841; HEXA-B.ST:9521; SHB-B.ST:9627; SWED-A.ST:9617; LUND-B.ST:9559,
2020-03-04,501,100150,RATO-B.ST:9638; NIBE-B.ST:10760; EQT.ST:10868; EMBRAC-B.ST:10027; AZN.ST:9874; HOLM-B.ST:9834; HEXA-B.ST:9347; SHB-B.ST:9684; SWED-A.ST:9841; LUND-B.ST:9776,
2020-03-05,501,99569,RATO-B.ST:9300; NIBE-B.ST:10687; EQT.ST:11053; EMBRAC-B.ST:9863; AZN.ST:9992; HOLM-B.ST:9658; HEXA-B.ST:9292; SHB-B.ST:9627; SWED-A.ST:9802; LUND-B.ST:9794,
2020-03-06,147,95354,NIBE-B.ST:10402; EQT.ST:10068; EMBRAC-B.ST:9329; AZN.ST:9621; SWED-A.ST:9431; LUND-B.ST:9550; PCELL.ST:9260; SOBI.ST:9227; CEVI.ST:9117; INVE-B.ST:9202,SELL RATO-B.ST 391 @ 23.21 fee 69.00; SELL HOLM-B.ST 39 @ 243.86 fee 69.00; SELL HEXA-B.ST 130 @ 68.65 fee 69.00; SELL SHB-B.ST 122 @ 77.83 fee 69.00; BUY PCELL.ST 50 @ 185.20 fee 69.00; BUY SOBI.ST 60 @ 153.78 fee 69.00; BUY CEVI.ST 33 @ 276.27 fee 69.00; BUY INVE-B.ST 85 @ 108.26 fee 69.00
2020-03-09,147,90619,NIBE-B.ST:9848; EQT.ST:9180; EMBRAC-B.ST:8864; AZN.ST:9454; SWED-A.ST:8625; LUND-B.ST:9177; PCELL.ST:9150; SOBI.ST:8665; CEVI.ST:8785; INVE-B.ST:8724,
2020-03-10,147,89974,NIBE-B.ST:9722; EQT.ST:9041; EMBRAC-B.ST:8664; AZN.ST:9360; SWED-A.ST:8583; LUND-B.ST:9195; PCELL.ST:9000; SOBI.ST:8771; CEVI.ST:8785; INVE-B.ST:8705,
2020-03-11,147,88503,NIBE-B.ST:9493; EQT.ST:8387; EMBRAC-B.ST:8874; AZN.ST:9278; SWED-A.ST:8696; LUND-B.ST:9108; PCELL.ST:8840; SOBI.ST:8631; CEVI.ST:8422; INVE-B.ST:8627,
2020-03-12,147,76799,NIBE-B.ST:8180; EQT.ST:7235; EMBRAC-B.ST:7607; AZN.ST:8556; SWED-A.ST:7480; LUND-B.ST:7966; PCELL.ST:6900; SOBI.ST:7900; CEVI.ST:7205; INVE-B.ST:7623,
2020-03-13,19,79585,NIBE-B.ST:8332; EQT.ST:7934; EMBRAC-B.ST:7840; AZN.ST:8291; SWED-A.ST:7763; LUND-B.ST:8399; PCELL.ST:8000; SOBI.ST:7989; HOLM-B.ST:7567; G5EN.ST:7451,SELL CEVI.ST 33 @ 223.60 fee 69.00; SELL INVE-B.ST 85 @ 91.61 fee 69.00; BUY HOLM-B.ST 36 @ 210.18 fee 69.00; BUY G5EN.ST 123 @ 60.58 fee 69.00
2020-03-16,19,75968,NIBE-B.ST:8044; EQT.ST:6812; EMBRAC-B.ST:7630; AZN.ST:8110; SWED-A.ST:7347; LUND-B.ST:8053; PCELL.ST:7780; SOBI.ST:7737; HOLM-B.ST:7482; G5EN.ST:6954,
2020-03-17,19,80069,NIBE-B.ST:8001; EQT.ST:6775; EMBRAC-B.ST:8248; AZN.ST:8791; SWED-A.ST:8098; LUND-B.ST:8868; PCELL.ST:7990; SOBI.ST:7920; HOLM-B.ST:8001; G5EN.ST:7358,
2020-03-18,19,78386,NIBE-B.ST:7851; EQT.ST:5498; EMBRAC-B.ST:8160; AZN.ST:8746; SWED-A.ST:7987; LUND-B.ST:8873; PCELL.ST:7590; SOBI.ST:8436; HOLM-B.ST:7612; G5EN.ST:7613,
2020-03-19,19,81797,NIBE-B.ST:8485; EQT.ST:6194; EMBRAC-B.ST:8743; AZN.ST:9097; SWED-A.ST:8209; LUND-B.ST:8882; PCELL.ST:7980; SOBI.ST:8319; HOLM-B.ST:7755; G5EN.ST:8115,
2020-03-20,27,82663,NIBE-B.ST:8326; EQT.ST:7002; EMBRAC-B.ST:8568; SWED-A.ST:7848; PCELL.ST:8390; G5EN.ST:8263; NOTE.ST:8629; NEWA-B.ST:8629; CEVI.ST:8427; SINT.ST:8557,SELL AZN.ST 11 @ 836.86 fee 69.00; SELL LUND-B.ST 24 @ 369.33 fee 69.00; SELL SOBI.ST 60 @ 142.70 fee 69.00; SELL HOLM-B.ST 36 @ 226.93 fee 69.00; BUY NOTE.ST 379 @ 22.77 fee 69.00; BUY NEWA-B.ST 743 @ 11.61 fee 69.00; BUY CEVI.ST 40 @ 210.68 fee 69.00; BUY SINT.ST 104 @ 82.28 fee 69.00
2020-03-23,27,79230,NIBE-B.ST:7808; EQT.ST:6669; EMBRAC-B.ST:8782; SWED-A.ST:7291; PCELL.ST:8310; G5EN.ST:8253; NOTE.ST:8229; NEWA-B.ST:7880; CEVI.ST:8140; SINT.ST:7840,
2020-03-24,27,84355,NIBE-B.ST:8906; EQT.ST:7273; EMBRAC-B.ST:8670; SWED-A.ST:7376; PCELL.ST:9520; G5EN.ST:8931; NOTE.ST:8774; NEWA-B.ST:7721; CEVI.ST:8389; SINT.ST:8767,
2020-03-25,27,87786,NIBE-B.ST:9546; EQT.ST:7865; EMBRAC-B.ST:8843; SWED-A.ST:7412; PCELL.ST:10700; G5EN.ST:8695; NOTE.ST:9356; NEWA-B.ST:7657; CEVI.ST:8791; SINT.ST:8894,
2020-03-26,27,89725,NIBE-B.ST:9898; EQT.ST:8331; EMBRAC-B.ST:9107; SWED-A.ST:7461; PCELL.ST:10475; G5EN.ST:9300; NOTE.ST:9483; NEWA-B.ST:7626; CEVI.ST:9040; SINT.ST:8978,
2020-03-27,35,88095,NIBE-B.ST:9201; EQT.ST:8429; EMBRAC-B.ST:9545; PCELL.ST:9920; G5EN.ST:10505; NOTE.ST:8938; NEWA-B.ST:7387; CEVI.ST:8714; RATO-B.ST:7793; ELAN-B.ST:7628,SELL SWED-A.ST 93 @ 77.32 fee 69.00; SELL SINT.ST 104 @ 81.87 fee 69.00; BUY RATO-B.ST 476 @ 16.37 fee 69.00; BUY ELAN-B.ST 216 @ 35.32 fee 69.00
2020-03-30,35,89470,NIBE-B.ST:9354; EQT.ST:7834; EMBRAC-B.ST:9717; PCELL.ST:10000; G5EN.ST:10436; NOTE.ST:9192; NEWA-B.ST:7817; CEVI.ST:9193; RATO-B.ST:8156; ELAN-B.ST:7737,
2020-03-31,35,93459,NIBE-B.ST:9593; EQT.ST:8248; EMBRAC-B.ST:10029; PCELL.ST:10150; G5EN.ST:10722; NOTE.ST:10119; NEWA-B.ST:8724; CEVI.ST:9385; RATO-B.ST:8358; ELAN-B.ST:8098,
2020-04-01,35,91260,NIBE-B.ST:9254; EQT.ST:7764; EMBRAC-B.ST:9863; PCELL.ST:10200; G5EN.ST:11312; NOTE.ST:9574; NEWA-B.ST:8199; CEVI.ST:9170; RATO-B.ST:7962; ELAN-B.ST:7926,
2020-04-02,35,89778,NIBE-B.ST:9281; EQT.ST:7740; EMBRAC-B.ST:9384; PCELL.ST:10240; G5EN.ST:10899; NOTE.ST:9247; NEWA-B.ST:8278; CEVI.ST:9078; RATO-B.ST:7986; ELAN-B.ST:7610,
2020-04-03,16,90891,NIBE-B.ST:9487; EQT.ST:7896; PCELL.ST:10230; NOTE.ST:9483; NEWA-B.ST:8135; CEVI.ST:9132; RATO-B.ST:7861; ELAN-B.ST:7818; HM-B.ST:10438; MEKO.ST:10396,SELL EMBRAC-B.ST 34 @ 282.12 fee 69.00; SELL G5EN.ST 123 @ 93.48 fee 69.00; BUY HM-B.ST 112 @ 93.19 fee 69.00; BUY MEKO.ST 310 @ 33.54 fee 69.00
2020-04-06,16,97238,NIBE-B.ST:10352; EQT.ST:8488; PCELL.ST:10710; NOTE.ST:10101; NEWA-B.ST:8597; CEVI.ST:9630; RATO-B.ST:8511; ELAN-B.ST:8179; HM-B.ST:11536; MEKO.ST:11118,
