date,portfolio_value,cash,positions_count
2021-12-02,151394340,43543199,7
2021-12-03,150415306,33002296,8
2021-12-06,166366975,33002296,8
2021-12-07,168217524,33002296,8
2021-12-08,168752883,33002296,8
2021-12-09,168161431,33002296,8
2021-12-10,167477140,35789844,8
2021-12-13,177004947,35789844,8
2021-12-14,174653013,35789844,8
2021-12-15,175429072,55140966,7
2021-12-16,176775515,55140966,7
2021-12-17,177996683,20599769,8
2021-12-20,181651534,20599769,8
2021-12-21,183919432,20599769,8
2021-12-22,185501778,20599769,8
2021-12-23,187575536,20599769,8
2021-12-27,190399679,40454821,8
2021-12-28,205207669,40454821,8
2021-12-29,204860034,40454821,8
2021-12-30,205320049,40454821,8
2022-01-03,206416251,40454821,8
2022-01-04,206386981,21745795,9
2022-01-05,216263566,21745795,9
2022-01-07,210978773,21745795,9
2022-01-10,205496657,43102398,8
2022-01-11,209808817,106275366,5
2022-01-12,211555421,43886499,8
2022-01-13,219089956,43886499,8
2022-01-14,214246908,43886499,8
2022-01-17,215441663,134963131,4
2022-01-18,221130138,134963131,4
2022-01-19,221960467,118,8
2022-01-20,237595366,118,8
2022-01-21,232567073,118,8
2022-01-24,220056557,118,8
2022-01-25,218482249,118218627,4
2022-01-26,233135947,11,10
2022-01-27,240138024,11,10
2022-01-28,238191925,11,10
2022-01-31,242400229,24064520,9
2022-02-01,245658738,24064520,9
2022-02-02,247877184,25667164,9
2022-02-03,250184446,25667164,9
2022-02-04,249413758,51114903,8
2022-02-07,250190662,78912741,7
2022-02-08,250935873,78912741,7
2022-02-09,255050253,54666370,8
2022-02-10,266887053,54666370,8
2022-02-11,263922426,82150316,7
2022-02-14,262779510,107613730,6
2022-02-15,265571616,188065466,3
2022-02-16,269480166,56505517,8
2022-02-17,278194462,56505517,8
2022-02-18,274386256,56505517,8
2022-02-21,266787270,112969405,6
2022-02-22,275056873,253959999,1
2022-02-23,281961931,159,10
2022-02-24,276752203,159,10
2022-02-25,282235174,62919963,8
2022-02-28,298003243,62919963,8
2022-03-01,288576713,62919963,8
2022-03-02,289075748,30623929,9
2022-03-03,292625289,30623929,9
2022-03-04,286062704,119304350,6
2022-03-07,297611680,181345073,4
2022-03-08,303696725,181345073,4
2022-03-09,307961949,31020875,9
2022-03-10,314669939,31020875,9
2022-03-11,323191041,31020875,9
2022-03-14,328489504,31020875,9
2022-03-15,323990340,31020875,9
2022-03-16,337014374,55,10
2022-03-17,350735861,55,10
2022-03-18,354979765,55,10
2022-03-21,352243039,55,10
2022-03-22,353990961,55,10
2022-03-23,345169571,77733906,8
2022-03-24,379974412,77733906,8
2022-03-25,379692384,77733906,8
2022-03-28,382610733,119937320,7
2022-03-29,398554021,119937320,7
2022-03-30,397186322,40714225,9
2022-03-31,401198663,40714225,9
2022-04-01,404463871,40714225,9
2022-04-04,413625910,40714225,9
2022-04-05,412546577,40714225,9
2022-04-06,405374656,78,10
2022-04-07,449408205,78,10
2022-04-08,455390812,78,10
2022-04-11,450348194,78,10
2022-04-12,462943843,78,10
2022-04-13,467691010,59,10
2022-04-14,489487436,59,10
2022-04-19,488924732,59,10
2022-04-20,488957398,59,10
2022-04-21,505006050,55243412,9
2022-04-22,509740686,57872591,9
2022-04-25,552972367,103186858,8
2022-04-26,545596649,103186858,8
2022-04-27,549342665,160109699,7
2022-04-28,550888940,226860678,6
2022-04-29,565202679,117554292,8
2022-05-02,578622469,117554292,8
2022-05-03,577213184,174962083,7
2022-05-04,577112321,294306508,5
2022-05-05,583320964,294306508,5
2022-05-06,577419192,74,10
2022-05-09,570844081,74,10
2022-05-10,571614802,171743834,7
2022-05-11,583533097,171743834,7
2022-05-12,585323505,171743834,7
2022-05-13,593098376,127118959,8
2022-05-16,637771222,127118959,8
2022-05-17,647817614,127118959,8
2022-05-18,641881150,127118959,8
2022-05-19,634477011,127118959,8
2022-05-20,642395873,65427021,9
2022-05-23,651075297,65427021,9
2022-05-24,644270990,65427021,9
2022-05-25,646350591,133799020,8
2022-05-27,663802669,133799020,8
2022-05-30,665128351,70981673,9
2022-05-31,697443746,70981673,9
2022-06-01,690940471,70981673,9
2022-06-02,697876659,145393360,8
2022-06-03,701251879,228210157,7
2022-06-07,716614192,78319399,9
2022-06-08,775041275,78319399,9
2022-06-09,741152945,78319399,9
2022-06-10,727077072,293051862,6
2022-06-13,732065575,523989286,3
2022-06-14,742055527,84938061,8
2022-06-15,777573258,84938061,8
2022-06-16,754730477,84938061,8
2022-06-17,762175745,252195873,6
2022-06-20,777804463,252195873,6
2022-06-21,780008589,155966002,8
2022-06-22,786660495,155966002,8
2022-06-23,780090536,155966002,8
2022-06-27,804734749,237393061,7
2022-06-28,805633597,237393061,7
2022-06-29,807114944,167016698,8
2022-06-30,812852403,167016698,8
2022-07-01,822025031,252223731,7
2022-07-04,832540421,252223731,7
2022-07-05,835813353,252223731,7
2022-07-06,851513183,86596991,9
2022-07-07,885975660,86596991,9
2022-07-08,889204228,86596991,9
2022-07-11,886688541,86596991,9
2022-07-12,903873838,86596991,9
2022-07-13,896628370,196095588,8
2022-07-14,951450618,196095588,8
2022-07-15,955582051,196095588,8
2022-07-18,962582967,364003905,6
2022-07-19,969873008,364003905,6
2022-07-20,972774337,205428693,8
2022-07-21,1060099355,205428693,8
2022-07-22,1071822022,205428693,8
2022-07-25,1059018478,205428693,8
2022-07-26,1044939228,205428693,8
2022-07-27,1045779840,225722431,8
2022-07-28,1138131576,225722431,8
2022-07-29,1156473939,225722431,8
2022-08-01,1149343609,225722431,8
2022-08-02,1136653886,225722431,8
2022-08-03,1142855270,119,10
2022-08-04,1201130802,119,10
2022-08-05,1178550339,119,10
2022-08-08,1189237261,119,10
2022-08-09,1165475449,119,10
2022-08-10,1198062863,370191062,7
2022-08-11,1207336376,370191062,7
2022-08-12,1205550510,488152629,6
2022-08-15,1225668486,488152629,6
2022-08-16,1227586773,488152629,6
2022-08-17,1232489164,262602646,8
2022-08-18,1302336661,262602646,8
2022-08-19,1292948024,262602646,8
2022-08-22,1264977914,262602646,8
2022-08-23,1264061283,663105572,5
