date,action,ticker,price,shares,fee,cash_after,reason
2020-03-18,BUY,SAND.ST,103.50,12,69,8381,BUY-SIGNAL
2020-03-18,BUY,SCA-B.ST,72.54,17,69,7079,BUY-SIGNAL
2020-03-18,BUY,SEB-A.ST,48.21,25,69,5805,BUY-SIGNAL
2020-03-18,BUY,SHB-A.ST,56.17,22,69,4500,BUY-SIGNAL
2020-03-18,BUY,SKA-B.ST,123.93,10,69,3192,BUY-SIGNAL
2020-03-18,BUY,SKF-B.ST,105.70,11,69,1960,BUY-SIGNAL
2020-03-18,BUY,TEL2-B.ST,84.44,14,69,709,BUY-SIGNAL
2020-03-19,SELL,EVO.ST,275.62,4,69,1742,STOP-LOSS
2020-03-19,BUY,ABB.ST,156.50,2,69,1360,BUY-SIGNAL
2020-03-19,BUY,ADDT-B.ST,47.85,7,69,956,BUY-SIGNAL
2020-03-19,BUY,EPI-A.ST,76.25,4,69,582,BUY-SIGNAL
2020-03-19,BUY,EVO.ST,275.62,1,69,237,BUY-SIGNAL
2020-03-20,SELL,ALFA.ST,145.53,8,69,1333,STOP-LOSS
2020-03-20,SELL,ATCO-A.ST,63.11,18,69,2400,STOP-LOSS
2020-03-20,BUY,ALFA.ST,145.53,3,69,1894,BUY-SIGNAL
2020-03-20,BUY,ATCO-A.ST,63.11,7,69,1383,BUY-SIGNAL
2020-03-20,BUY,HEXA-B.ST,53.77,8,69,884,BUY-SIGNAL
2020-03-20,BUY,SWED-A.ST,84.38,5,69,393,BUY-SIGNAL
2020-03-23,SELL,ASSA-B.ST,144.32,7,69,1334,STOP-LOSS
2020-03-23,SELL,SAND.ST,97.11,12,69,2431,STOP-LOSS
2020-03-23,SELL,SKF-B.ST,94.53,11,69,3402,STOP-LOSS
2020-03-23,SELL,ABB.ST,147.78,2,69,3628,STOP-LOSS
2020-03-23,SELL,ALFA.ST,136.16,3,69,3968,STOP-LOSS
2020-03-23,SELL,HEXA-B.ST,50.34,8,69,4301,STOP-LOSS
2020-03-23,SELL,SWED-A.ST,78.40,5,69,4624,STOP-LOSS
2020-03-23,BUY,ABB.ST,147.78,3,69,4112,BUY-SIGNAL
2020-03-23,BUY,ALFA.ST,136.16,3,69,3635,BUY-SIGNAL
2020-03-23,BUY,ASSA-B.ST,144.32,3,69,3133,BUY-SIGNAL
2020-03-23,BUY,HEXA-B.ST,50.34,10,69,2560,BUY-SIGNAL
2020-03-23,BUY,SAAB-B.ST,38.32,13,69,1993,BUY-SIGNAL
2020-03-23,BUY,SAND.ST,97.11,5,69,1439,BUY-SIGNAL
2020-03-23,BUY,SKF-B.ST,94.53,5,69,897,BUY-SIGNAL
2020-03-23,BUY,SWED-A.ST,78.40,6,69,357,BUY-SIGNAL
2020-03-24,BUY,VOLV-B.ST,94.10,3,69,6,BUY-SIGNAL
2020-03-25,SELL,HM-B.ST,109.57,14,69,1471,SELL-SIGNAL
2020-03-30,BUY,HM-B.ST,99.94,14,69,3,BUY-SIGNAL
2020-04-02,SELL,HM-B.ST,94.09,14,69,1251,STOP-LOSS
2020-04-15,SELL,SWED-A.ST,72.36,6,69,1616,STOP-LOSS
2020-04-16,BUY,HM-B.ST,105.00,7,69,812,BUY-SIGNAL
2020-04-29,BUY,SWED-A.ST,82.07,9,69,5,BUY-SIGNAL
2020-05-04,SELL,SWED-A.ST,75.53,9,69,616,STOP-LOSS
2020-05-14,SELL,HM-B.ST,97.77,7,69,1231,STOP-LOSS
2020-05-14,BUY,HM-B.ST,97.77,6,69,575,BUY-SIGNAL
2020-05-29,BUY,SWED-A.ST,82.53,6,69,11,BUY-SIGNAL
2020-06-02,SELL,HM-B.ST,125.81,6,69,697,SELL-SIGNAL
2020-06-05,SELL,SAAB-B.ST,62.05,13,69,1435,SELL-SIGNAL
2020-06-26,BUY,HM-B.ST,112.03,6,69,693,BUY-SIGNAL
2020-10-30,SELL,SHB-A.ST,52.82,22,69,1786,STOP-LOSS
2020-10-30,BUY,SAAB-B.ST,48.54,18,69,844,BUY-SIGNAL
2021-02-26,SELL,ESSITY-B.ST,220.02,120,69,27177,STOP-LOSS
2021-07-30,SELL,EVO.ST,1485.91,1,69,28594,SELL-SIGNAL
2021-11-29,BUY,EVO.ST,994.24,28,69,686,BUY-SIGNAL
2021-11-30,SELL,EVO.ST,942.12,28,69,26996,STOP-LOSS
2021-11-30,BUY,EVO.ST,942.12,28,69,548,BUY-SIGNAL
2021-12-02,SELL,EVO.ST,870.18,28,69,24844,STOP-LOSS
2021-12-02,BUY,EVO.ST,870.18,28,69,410,BUY-SIGNAL
2021-12-27,SELL,EQT.ST,481.54,16,69,8046,SELL-SIGNAL
2021-12-27,SELL,EVO.ST,1266.34,28,69,43434,SELL-SIGNAL
2021-12-28,SELL,NIBE-B.ST,131.20,44,69,49138,SELL-SIGNAL
2022-01-14,SELL,ADDT-B.ST,168.57,7,69,50249,SELL-SIGNAL
2022-01-27,BUY,EVO.ST,1073.31,46,69,807,BUY-SIGNAL
2022-02-14,SELL,ALFA.ST,263.30,3,69,1528,SELL-SIGNAL
2022-02-14,SELL,HM-B.ST,151.36,6,69,2368,SELL-SIGNAL
2022-02-17,SELL,SKF-B.ST,158.40,5,69,3090,SELL-SIGNAL
2022-02-18,SELL,EVO.ST,982.85,46,69,48232,STOP-LOSS
2022-02-21,SELL,ERIC-B.ST,81.59,21,69,49877,SELL-SIGNAL
2022-02-25,SELL,SKA-B.ST,184.90,10,69,51657,SELL-SIGNAL
2022-02-28,SELL,ASSA-B.ST,235.90,3,69,52296,SELL-SIGNAL
2022-02-28,BUY,NIBE-B.ST,82.50,633,69,3,BUY-SIGNAL
2022-06-10,SELL,NIBE-B.ST,77.51,633,69,48999,STOP-LOSS
2022-06-14,BUY,EQT.ST,210.33,116,69,24531,BUY-SIGNAL
2022-06-15,BUY,NIBE-B.ST,71.32,343,69,1,BUY-SIGNAL
2022-08-04,SELL,EQT.ST,263.37,116,69,30483,SELL-SIGNAL
2022-09-29,SELL,TEL2-B.ST,77.81,14,69,31503,STOP-LOSS
2022-09-29,BUY,ERIC-B.ST,58.33,180,69,20934,BUY-SIGNAL
2022-09-29,BUY,HM-B.ST,87.06,120,69,10417,BUY-SIGNAL
2022-10-03,BUY,EVO.ST,882.12,11,69,645,BUY-SIGNAL
2022-10-07,BUY,ADDT-B.ST,133.00,2,69,310,BUY-SIGNAL
2022-10-07,BUY,EQT.ST,199.36,1,69,41,BUY-SIGNAL
2022-10-12,SELL,ADDT-B.ST,123.99,2,69,220,STOP-LOSS
2022-10-12,BUY,ADDT-B.ST,123.99,1,69,27,BUY-SIGNAL
2022-10-20,SELL,ERIC-B.ST,55.26,180,69,9906,STOP-LOSS
2022-10-21,SELL,EQT.ST,188.00,1,69,10025,STOP-LOSS
2022-10-28,BUY,EQT.ST,209.18,47,69,124,BUY-SIGNAL
2022-11-07,BUY,ERIC-B.ST,54.29,1,69,1,BUY-SIGNAL
2023-03-15,SELL,EQT.ST,196.19,47,69,9153,STOP-LOSS
2023-03-15,SELL,ERIC-B.ST,50.51,1,69,9135,STOP-LOSS
2023-06-07,SELL,TELIA.ST,21.24,1236,69,35323,STOP-LOSS
2023-09-21,SELL,NIBE-B.ST,66.21,343,69,57965,STOP-LOSS
2023-10-27,BUY,NIBE-B.ST,62.18,466,69,28919,BUY-SIGNAL
2023-10-30,BUY,ASSA-B.ST,224.69,21,69,24131,BUY-SIGNAL
2023-10-30,BUY,EQT.ST,193.63,24,69,19415,BUY-SIGNAL
2023-10-30,BUY,SKA-B.ST,152.75,31,69,14611,BUY-SIGNAL
