Total trades: 3708
Final portfolio value: 87804365381
Max single position value seen: 10950299274.786922
Max shares for any ticker: 402601398
Trades with shares > 1,000,000 found:
date,action,ticker,price,shares,fee,cash_after,reason 
2024-03-28,BUY,CLAS-B.ST,140.32550048828125,26428566,2558935.208284925,33374857628.928074,REBALANCE_IN_random
2024-03-28,BUY,ELAN-B.ST,112.24247741699219,33040983,2558935.2338667787,29663696905.481483,REBALANCE_IN_random
2024-03-28,BUY,ELUX-B.ST,95.62000274658203,38784791,2558935.2571424707,25952536148.278732,REBALANCE_IN_random
2024-03-28,BUY,EMBRAC-B.ST,140.0699920654297,26476776,2558935.2449243297,22241375408.795647,REBALANCE_IN_random
2024-03-28,BUY,G5EN.ST,114.1852798461914,32478808,2558935.2285799966,18530214693.016346,REBALANCE_IN_random
2024-03-28,BUY,HEXA-B.ST,126.37493133544922,29346024,2558935.2198982267,14819053989.828003,REBALANCE_IN_random
2024-03-28,BUY,RATO-B.ST,33.84292221069336,109582789,2558935.2445928985,11107893250.825586,REBALANCE_IN_random
2024-03-28,BUY,SAVE.ST,183.32223510742188,20229961,2558935.149992623,7396732649.019619,REBALANCE_IN_random
2024-03-28,BUY,SOBI.ST,267.20001220703125,13879497,2558935.219800943,3685571945.9723644,REBALANCE_IN_random
2024-04-08,SELL,ELUX-B.ST,93.0,38784791,2488820.03847,7290068688.933895,REBALANCE_OUT_random
2024-04-08,SELL,EMBRAC-B.ST,154.1999969482422,26476776,2817075.9570955113,11369970391.376091,REBALANCE_OUT_random
2024-04-08,SELL,ELAN-B.ST,121.5999984741211,33040983,2772270.602844588,15384981603.156708,REBALANCE_OUT_random
2024-04-08,SELL,RATO-B.ST,34.36000061035156,109582789,2598032.640877578,19147648267.439857,REBALANCE_OUT_random
2024-04-08,SELL,HEXA-B.ST,123.0999984741211,29346024,2492621.901638849,22757651155.15974,REBALANCE_OUT_random
2024-04-08,SELL,CLAS-B.ST,140.0,26428566,2552999.4756,26455097395.68414,REBALANCE_OUT_random
2024-04-08,BUY,BEIJ-B.ST,148.6798858642578,25419037,2607716.668758149,22673190159.076035,REBALANCE_IN_random
2024-04-08,BUY,BULTEN.ST,69.7397689819336,54191456,2607716.739341887,18891282820.102074,REBALANCE_IN_random
2024-04-08,BUY,CEVI.ST,209.7012481689453,18022303,2607716.60944546,15109375669.5137,REBALANCE_IN_random
2024-04-08,BUY,LUND-B.ST,551.3760986328125,6854304,2607716.584870664,11327468554.565548,REBALANCE_IN_random
2024-04-08,BUY,MEKO.ST,112.17218017578125,33691951,2607716.7226514593,7545561239.797303,REBALANCE_IN_random
2024-04-08,BUY,SHB-B.ST,130.85227966308594,28882184,2607716.736453607,3763653905.0121436,REBALANCE_IN_random
2024-04-08,BUY,SKA-B.ST,187.5530242919922,20053309,2595130.5375081594,24.462810039520264,REBALANCE_IN_random
2024-04-11,SELL,G5EN.ST,123.5999984741211,32478808,2769922.6272764774,4011610721.0768056,STOP_LOSS_random
2024-04-15,SELL,LUND-B.ST,547.0,6854304,2587019.95872,7758327989.118086,REBALANCE_OUT_random
2024-04-15,SELL,BULTEN.ST,72.80000305175781,54191456,2722145.331903647,11700744005.965382,REBALANCE_OUT_random
2024-04-15,SELL,BEIJ-B.ST,149.89999389648438,25419037,2629116.308896612,15508428380.810995,REBALANCE_OUT_random
2024-04-15,SELL,CEVI.ST,222.5,18022303,2766874.068075,19515623924.24292,REBALANCE_OUT_random
2024-04-15,SELL,SKA-B.ST,192.39999389648438,20053309,2662197.0051509775,23371218256.442085,REBALANCE_OUT_random
2024-04-15,SELL,MEKO.ST,114.19999694824219,33691951,2654858.2839524243,27216184099.53846,REBALANCE_OUT_random
2024-04-15,SELL,SAVE.ST,182.0,20229961,2540478.50238,30895496523.03608,STOP_LOSS_random
2024-04-15,SELL,SOBI.ST,252.60000610351562,13879497,2419113.1085704714,34399038436.84123,STOP_LOSS_random
2024-04-15,BUY,CLAS-B.ST,134.71249389648438,36478786,3390762.28309955,29481499438.181973,REBALANCE_IN_random
2024-04-15,BUY,ELAN-B.ST,101.27005004882812,48525189,3390762.3398746024,24563960357.183254,REBALANCE_IN_random
2024-04-15,BUY,HEXA-B.ST,124.38006591796875,39509131,3390762.339517747,19646421276.702072,REBALANCE_IN_random
2024-04-15,BUY,HOLM-B.ST,412.03533935546875,11926521,3390762.2080199355,14728882386.928928,REBALANCE_IN_random
2024-04-15,BUY,NIBE-B.ST,50.134830474853516,98018648,3390762.327589494,9811343323.747,REBALANCE_IN_random
2024-04-15,BUY,PCELL.ST,27.68000030517578,177534259,3390762.3568764175,4893804218.090967,REBALANCE_IN_random
2024-04-15,BUY,SINT.ST,96.20011138916016,50836009,3374396.51258244,93.19803619384766,REBALANCE_IN_random
2024-04-22,SELL,CLAS-B.ST,136.89999389648438,36478786,3445822.4507183,4990499851.498478,REBALANCE_OUT_random
2024-04-22,SELL,PCELL.ST,26.200000762939453,177534259,3209464.427661044,9638688108.318707,REBALANCE_OUT_random
2024-04-22,SELL,HEXA-B.ST,120.8499984741211,39509131,3294528.1105340566,14410072001.272022,REBALANCE_OUT_random
2024-04-22,SELL,HOLM-B.ST,416.20001220703125,11926521,3425034.548193316,19370465152.511246,REBALANCE_OUT_random
2024-04-22,SELL,ELAN-B.ST,102.5999984741211,48525189,3435292.1789759416,24345714177.688705,STOP_LOSS_random
2024-04-22,BUY,BEIJ-B.ST,145.8662109375,27817402,2799757.1292270115,20285295392.694244,REBALANCE_IN_random
2024-04-22,BUY,RATO-B.ST,33.40040588378906,121484123,2799757.1214789464,16224876618.936611,REBALANCE_IN_random
2024-04-22,BUY,SAVE.ST,166.8008270263672,24326132,2799757.065807277,12164457925.918228,REBALANCE_IN_random
2024-04-22,BUY,VOLV-B.ST,274.8601989746094,14762483,2799757.120170109,8104039154.058769,REBALANCE_IN_random
2024-04-25,SELL,SHB-B.ST,123.5,28882184,2461195.30956,11668527682.74921,STOP_LOSS_random
2024-04-29,SELL,SAVE.ST,193.39999389648438,24326132,3246224.9084243006,16369955238.16586,REBALANCE_OUT_random
2024-04-29,SELL,RATO-B.ST,36.86000061035156,121484123,3089754.3450703365,20844770331.748814,REBALANCE_OUT_random
2024-04-29,SELL,BEIJ-B.ST,160.14999389648438,27817402,3073920.164756076,25296653172.10011,REBALANCE_OUT_random
2024-04-29,SELL,VOLV-B.ST,281.70001220703125,14762483,2869428.2325012027,29452375385.1737,REBALANCE_OUT_random
2024-04-29,BUY,EMBRAC-B.ST,163.1999969482422,22558498,2540267.29528228,25768288313.12149,REBALANCE_IN_random
2024-04-29,BUY,G5EN.ST,103.37328338623047,35614104,2540267.3370836917,22084201180.445724,REBALANCE_IN_random
2024-04-29,BUY,HM-B.ST,168.06539916992188,21905442,2540267.3290692642,18400114059.39308,REBALANCE_IN_random
2024-04-29,BUY,HPOL-B.ST,119.49091339111328,30810266,2540267.3100525816,14716026965.919867,REBALANCE_IN_random
2024-04-29,BUY,PCELL.ST,27.6200008392334,133292788,2540267.372332394,11031939782.123775,REBALANCE_IN_random
2024-04-29,BUY,SHB-B.ST,114.83150482177734,32060425,2540267.325103254,7347852666.822941,REBALANCE_IN_random
2024-05-07,SELL,NIBE-B.ST,53.0,98018648,3584541.95736,12539256468.865582,REBALANCE_OUT_random
2024-05-07,SELL,SINT.ST,110.0,50836009,3858453.0831,18127359005.782482,REBALANCE_OUT_random
2024-05-07,SELL,HPOL-B.ST,128.0,30810266,2721162.69312,22068351891.089363,REBALANCE_OUT_random
2024-05-07,BUY,ELUX-B.ST,98.37999725341797,44863493,3045432.519501928,17651636140.451126,REBALANCE_IN_random
2024-05-07,BUY,MEKO.ST,112.9365463256836,39080975,3045432.5370428637,13234920364.373701,REBALANCE_IN_random
2024-05-07,BUY,NEWA-B.ST,98.82192993164062,44662863,3045432.5193734006,8818204613.921864,REBALANCE_IN_random
2024-05-07,BUY,SKA-B.ST,193.45455932617188,22815023,3045432.452132218,4401488960.9882555,REBALANCE_IN_random
2024-05-14,SELL,SKA-B.ST,188.14999389648438,22815023,2961926.042356724,8691173473.14405,STOP_LOSS_random
2024-05-15,SELL,NEWA-B.ST,108.5999984741211,44662863,3346766.9290184164,13538213559.864912,REBALANCE_OUT_random
2024-05-15,SELL,ELUX-B.ST,105.0,44863493,3250360.0678499998,18245629964.797062,REBALANCE_OUT_random
2024-05-15,SELL,EMBRAC-B.ST,190.13999938964844,22558498,2959598.229206456,22531943162.51924,REBALANCE_OUT_random
2024-05-15,SELL,PCELL.ST,30.540000915527344,133292788,2808825.6886117025,26599896204.383823,REBALANCE_OUT_random
2024-05-15,SELL,HM-B.ST,176.25,21905442,2663975.565225,30458066381.3186,REBALANCE_OUT_random
2024-05-15,SELL,MEKO.ST,122.5999984741211,39080975,3306015.9580033435,35246087840.72776,REBALANCE_OUT_random
2024-05-15,SELL,SHB-B.ST,122.5,32060425,2709907.4231249997,39170779995.804634,REBALANCE_OUT_random
2024-05-15,BUY,ELAN-B.ST,99.30441284179688,43827950,3003093.1001586453,34815468061.894844,REBALANCE_IN_random
2024-05-15,BUY,HOLM-B.ST,436.4806823730469,9971366,3003092.958751265,30460156333.064693,REBALANCE_IN_random
2024-05-15,BUY,HPOL-B.ST,122.53527069091797,35518825,3003093.0968388575,26104844403.96951,REBALANCE_IN_random
2024-05-15,BUY,LUND-B.ST,570.0431518554688,7635051,3003092.8902659016,21749532774.461994,REBALANCE_IN_random
2024-05-15,BUY,SAVE.ST,205.323486328125,21197326,3003093.1238561277,17394220806.18433,REBALANCE_IN_random
2024-05-15,BUY,SINT.ST,115.71897888183594,37611020,3003093.0920819733,13038908883.987938,REBALANCE_IN_random
2024-05-15,BUY,SOBI.ST,287.79998779296875,15122686,3003093.1038758606,8683596944.687162,REBALANCE_IN_random
2024-05-15,BUY,VOLV-B.ST,279.04241943359375,15597302,3003093.131834337,4328284964.838898,REBALANCE_IN_random
2024-05-22,SELL,LUND-B.ST,582.0,7635051,3066083.78058,8768818563.05832,REBALANCE_OUT_random
2024-05-22,SELL,VOLV-B.ST,285.0,15597302,3067209.4383,13210982423.620018,REBALANCE_OUT_random
2024-05-22,SELL,SOBI.ST,278.3999938964844,15122686,2905007.42616793,17418233106.2923,REBALANCE_OUT_random
2024-05-22,SELL,SAVE.ST,208.39999389648438,21197326,3048090.6002250346,21832707624.713867,REBALANCE_OUT_random
2024-05-22,SELL,ELAN-B.ST,108.4000015258789,43827950,3278155.3943445394,26580379316.195667,REBALANCE_OUT_random
2024-05-22,SELL,HPOL-B.ST,130.5,35518825,3198292.597125,31212387686.09854,REBALANCE_OUT_random
2024-05-22,SELL,G5EN.ST,135.0,35614104,3317453.7876,36016974272.31094,REBALANCE_OUT_random
2024-05-22,SELL,HOLM-B.ST,462.3999938964844,9971366,3181424.108502332,40624552425.74205,REBALANCE_OUT_random
2024-05-22,BUY,BEIJ-B.ST,166.65565490722656,27084824,3114548.9664192074,36107598795.00867,REBALANCE_IN_random
2024-05-22,BUY,CLAS-B.ST,144.39012145996094,31261412,3114548.9622260174,31590645170.35656,REBALANCE_IN_random
2024-05-22,BUY,ELUX-B.ST,97.26000213623047,46410025,3114549.0001433315,27073691490.713905,REBALANCE_IN_random
2024-05-22,BUY,EQT.ST,333.59759521484375,13530790,3114548.913696368,22556737936.443153,REBALANCE_IN_random
2024-05-22,BUY,HM-B.ST,179.6709747314453,25122806,3114548.9389862115,18039784345.495163,REBALANCE_IN_random
2024-05-22,BUY,NIBE-B.ST,54.36677551269531,83025691,3114548.982024551,13522830692.12973,REBALANCE_IN_random
2024-05-22,BUY,NOTE.ST,141.9765625,31792847,3114548.9991124216,9005877013.982182,REBALANCE_IN_random
2024-05-22,BUY,SHB-B.ST,115.5989761352539,39047397,3114548.9886232815,4488923351.046773,REBALANCE_IN_random
2024-05-29,SELL,SINT.ST,129.5,37611020,3360732.6920999996,9356189708.354673,REBALANCE_OUT_random
2024-05-29,SELL,BEIJ-B.ST,166.85000610351562,27084824,3118181.104301726,13872174576.963018,REBALANCE_OUT_random
2024-05-29,SELL,ELUX-B.ST,98.80000305175781,46410025,3163864.3220261876,18454321324.273148,REBALANCE_OUT_random
2024-05-29,SELL,HM-B.ST,187.35000610351562,25122806,3247662.9216318326,23157831518.788956,REBALANCE_OUT_random
2024-05-29,SELL,SHB-B.ST,121.69999694824219,39047397,3278926.9860583926,27906620687.5397,REBALANCE_OUT_random
2024-05-29,SELL,NOTE.ST,150.39999389648438,31792847,3299334.3563787844,32684965347.93518,REBALANCE_OUT_random
2024-05-29,SELL,NIBE-B.ST,54.2599983215332,83025691,3108431.9594698525,37186830770.27985,REBALANCE_OUT_random
2024-05-29,SELL,CLAS-B.ST,147.3000030517578,31261412,3177316.197271558,41788459537.08483,REBALANCE_OUT_random
2024-05-29,BUY,BULTEN.ST,85.13959503173828,54535873,3203781.877926394,37142093613.28459,REBALANCE_IN_random
2024-05-29,BUY,CEVI.ST,267.5954895019531,17351421,3203781.7772741336,32495727835.457848,REBALANCE_IN_random
2024-05-29,BUY,ELAN-B.ST,98.74231719970703,47023022,3203781.886268833,27849361899.558777,REBALANCE_IN_random
2024-05-29,BUY,G5EN.ST,117.61347961425781,39478146,3203781.8626479884,23202995997.916435,REBALANCE_IN_random
2024-05-29,BUY,LUND-B.ST,547.2810668945312,8484054,3203781.8660504627,18556630091.33957,REBALANCE_IN_random
2024-05-29,BUY,MEKO.ST,116.84905242919922,39736412,3203781.84150402,13910264220.361805,REBALANCE_IN_random
2024-05-29,BUY,RATO-B.ST,37.32533645629883,124397061,3203781.887639813,9263898282.474436,REBALANCE_IN_random
2024-05-29,BUY,SOBI.ST,272.79998779296875,17020389,3203781.7188877896,4617532589.323969,REBALANCE_IN_random
2024-05-29,BUY,SWED-A.ST,196.4723358154297,23485996,3183900.460219568,195.7919111251831,REBALANCE_IN_random
2024-05-31,SELL,EQT.ST,320.5,13530790,2992266.55455,4333626124.237361,STOP_LOSS_random
2024-06-05,SELL,CEVI.ST,262.5,17351421,3142776.128625,8885231360.608736,REBALANCE_OUT_random
2024-06-05,SELL,ELAN-B.ST,107.19999694824219,47023022,3478198.792279016,13922620976.713581,REBALANCE_OUT_random
2024-06-05,SELL,RATO-B.ST,38.86000061035156,124397061,3335508.207806299,18753355334.891716,REBALANCE_OUT_random
2024-06-05,SELL,MEKO.ST,122.0,39736412,3345011.16216,23597852587.729557,REBALANCE_OUT_random
2024-06-05,SELL,G5EN.ST,137.39999389648438,39478146,3742764.943416718,29018406842.23066,REBALANCE_OUT_random
2024-06-05,SELL,SWED-A.ST,215.1999969482422,23485996,3487388.5245932355,34069105721.232494,REBALANCE_OUT_random
2024-06-05,BUY,CLAS-B.ST,152.9064178466797,31830025,3358240.42087698,29198732378.091354,REBALANCE_IN_random
2024-06-05,BUY,EMBRAC-B.ST,147.17999267578125,33068455,3358240.325642587,24328359173.06631,REBALANCE_IN_random
2024-06-05,BUY,HM-B.ST,176.08807373046875,27639663,3358240.361198223,19457985916.475803,REBALANCE_IN_random
2024-06-05,BUY,HPOL-B.ST,118.53955078125,41058153,3358240.3586442037,14587612663.589327,REBALANCE_IN_random
2024-06-05,BUY,SINT.ST,122.01800537109375,39887679,3358240.3710190994,9717239392.755844,REBALANCE_IN_random
2024-06-05,BUY,VOLV-B.ST,278.0697937011719,17502854,3358240.350663594,4846866151.44345,REBALANCE_IN_random
2024-06-12,SELL,VOLV-B.ST,272.0,17502854,3284935.6387199997,9604357503.80473,STOP_LOSS_random
2024-06-13,SELL,CLAS-B.ST,175.0,31830025,3843475.51875,15170768403.28598,REBALANCE_OUT_random
2024-06-13,SELL,SOBI.ST,270.79998779296875,17020389,3180293.58206779,19776709243.13549,REBALANCE_OUT_random
2024-06-13,SELL,SINT.ST,122.0,39887679,3357744.81822,24639648336.31727,STOP_LOSS_random
2024-06-13,BUY,AZN.ST,1650.5997314453125,3731923,4250338.660086463,18475486896.082596,REBALANCE_IN_random
2024-06-13,BUY,BEIJ-B.ST,167.5974884033203,36754202,4250339.240993122,12311324613.37331,REBALANCE_IN_random
2024-06-13,BUY,HOLM-B.ST,416.54290771484375,14788181,4250339.22035185,6147162360.599552,REBALANCE_IN_random
2024-06-13,BUY,SWED-A.ST,197.29592895507812,31135582,4238617.266230436,169.08631229400635,REBALANCE_IN_random
2024-06-17,SELL,LUND-B.ST,517.0,8484054,3026516.58342,4383229570.5028925,STOP_LOSS_random
2024-06-17,SELL,EMBRAC-B.ST,136.9199981689453,33068455,3124135.6306543965,8907838232.922089,STOP_LOSS_random
2024-06-20,SELL,BULTEN.ST,85.0,54535873,3198528.95145,13540188908.970638,REBALANCE_OUT_random
2024-06-20,SELL,BEIJ-B.ST,165.8000030517578,36754202,4204754.294597797,19629830958.440964,REBALANCE_OUT_random
2024-06-20,SELL,HPOL-B.ST,120.5,41058153,3413780.131185,24573924614.80978,REBALANCE_OUT_random
2024-06-20,SELL,HOLM-B.ST,420.0,14788181,4285614.8538,30780675019.95598,REBALANCE_OUT_random
2024-06-20,SELL,SWED-A.ST,212.3000030517578,31135582,4560958.065996597,37386198215.50824,REBALANCE_OUT_random
2024-06-20,BUY,CEVI.ST,258.70855712890625,18063858,3224559.5011594007,32709699016.64563,REBALANCE_IN_random
2024-06-20,BUY,CLAS-B.ST,177.39080810546875,26344514,3224559.4930480258,28033199829.546745,REBALANCE_IN_random
2024-06-20,BUY,EMBRAC-B.ST,138.77999877929688,33673979,3224559.5875147074,23356700505.44516,REBALANCE_IN_random
2024-06-20,BUY,HEXA-B.ST,118.2237777709961,39529059,3224559.533831689,18680201259.198734,REBALANCE_IN_random
2024-06-20,BUY,NOTE.ST,139.1964569091797,33573230,3224559.517467915,14003702036.684288,REBALANCE_IN_random
2024-06-20,BUY,RATO-B.ST,36.97901916503906,126376385,3224559.586417115,9327202714.174515,REBALANCE_IN_random
2024-06-20,BUY,SHB-B.ST,115.88677215576172,40326214,3224559.593868517,4650703380.858158,REBALANCE_IN_random
2024-06-20,BUY,SKA-B.ST,188.17677307128906,24697504,3206772.657888325,2.5650157928466797,REBALANCE_IN_random
2024-06-27,SELL,CEVI.ST,250.0,18063858,3116015.505,4512848487.060016,STOP_LOSS_random
2024-06-27,SELL,RATO-B.ST,36.380001068115234,126376385,3172325.384686334,9107249182.959871,STOP_LOSS_random
2024-06-28,SELL,EMBRAC-B.ST,139.5,33673979,3241288.848645,13801527964.611225,REBALANCE_OUT_random
